Diet,Phylum,Class,Abeomelomys spMW,Anisomys imitatorFR,Anisomys imitatorMW,Coccymys shawmayeri,Hydromys sp,Hyomys goliath,Leptomys ernstmayri,Lorentzimys highFR,Lorentzimys highMW,Lorentzimys lowFR,Lorentzimys lowMW,Lorentzimys midMW,Macruromys major,Mallomys cf_aroaensis,Mallomys hercules,Mallomys istapantap,Mallomys rothschildi,Melomys low,Melomys midFR,Microhydromys sp,Paramelomys platyopsBAI,Paramelomys platyopsFR,Paramelomys platyopsMW,Paramelomys platyopsWG,Paramelomys rubex_HighFR,Paramelomys rubex_HighMW,Paramelomys rubex_MidFR,Paramelomys rubex_MidMW,Pogonomys cf_sylvestris,Pogonomys loriae,Pogonomys spNorthEastFR,Pogonomys spNorthEastMW,Protochromys fellowsi,Pseudohydromys ellermani,Pseudohydromys fuscus,Rattus exulans,Rattus niobe,Rattus norvegicus,Rattus rattus,Rattus steini,Rattus verecundus,Uromys anak,Uromys cf_caudimaculatus,Uromys sp1
Animal,Annelida,Clitellata,0,0,0,0,0,0,0.030181758,0.000172273,0,0.003069957,0,0,0,0,0,0,0,0.001642999,0,0,0,0,0,0.032476726,0.000484381,0.004994467,0.000128262,0,0.001473195,0,0.001533818,0,0,0.006256945,0,0.001094589,0.036374764,0,0,0.136850677,0.009642521,0,8.21E-05,0.000239517
Animal,Arthropoda,Arachnida,0,0,0,0.000257034,0.001769206,0,0,5.98E-05,0,0.00138883,0,0,0,0,0,0.002546327,0,0,0,0.307082982,0,4.70E-05,0.000972627,0,0.0068764,0.000366455,0.003066542,0.000354024,0.00747377,0,0.000292156,0,0,0.361742035,0.072804164,0.000172417,0.004873126,0,0,0.005291116,0.001222743,0,0,0
Animal,Arthropoda,Chilopoda,0,0,0,0,0,0,0.000381143,8.11E-06,0,0.000133476,0,0.001477585,0,0,0,0,0,0,0,0.088787797,0,3.96E-05,0,0,0.002906894,5.70E-05,0.000145886,0,0,0,0,0,0,0.082692185,0.099837345,9.47E-05,0.000324165,0,0,0,0.000517544,0,0.000275083,0
Animal,Arthropoda,Collembola,0,0,0,0,0,0,0,0,0,0.000466323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014592,6.48E-05,0,7.46E-05,0,0,0,2.50E-05,0,0,0,8.10E-05,0.001834708,0,0,0,7.75E-06,0,5.34E-05,0.00254256
Animal,Arthropoda,Diplopoda,0,0,0,0,0.00264135,0,0.001191072,0,0,0,0,0,0,0,0,0,8.88E-05,0,0,0,0,0,0,0,0,9.69E-06,0,0,0,0,0,0,0,0.007177084,0,0,0.013463167,0,0,0.000618839,0.000454524,0,0,0
Animal,Arthropoda,Insecta,0,0.001710507,0,0.005422961,0.005656475,0,0.054122299,0.001630515,0.010443851,0.000337915,0,0.00377523,0,0,0,0.000766759,0,0.015042757,0.023760133,0.241120425,0,0.005726366,0.002040922,0,0.030931387,0.009454475,0.033269822,0.062659939,0,0,0.001049935,0.002974313,0,0.027214881,0.164459987,0.00629519,0.034804439,0,0.000890778,0.005135752,0.005223326,0,0.09138498,0.001529221
Animal,Arthropoda,Malacostraca,0,0,0,0,0.507213875,0,0,0,0,0,0,0,0,0.001576182,0,0.001679432,0,0,0,0,0,0,0,0.007207516,7.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007314467
Animal,Arthropoda,Symphyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal,Chordata,Amphibia,0,0,0,0,0.000946899,0,0.01212511,0,0,0.000148683,0,0,0,0,0,0,0,0.000947991,0,0,0,0,0,0,0,0,0.001171983,0.000131091,0,0,0.001712763,0,0,0.044230374,0.129806441,0,4.37E-06,0,0,0,6.48E-05,0,0,0
Animal,Chordata,Lepidosauria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002379213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal,Mollusca,Gastropoda,0.000254076,0,0,0,0.002043308,0,0,0,0,0,0,0,0,0,0,0,0,0.021331191,0,0,0,0,0.000223226,0,0.00184731,2.46E-05,0.000922312,0,0,0,0,0,0,0,0,0,0.001363951,0,0,0.00090862,0.000412275,0,0,0
Fungi,Ascomycota,Lecanoromycetes,0,0,0,0,0,0,0,0.000103364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-05,0,0,0,3.10E-05,0,0,0,0,0,4.64E-06,0,0,0,0,0,0,0
Fungi,Ascomycota,Leotiomycetes,0,0,0,0,0,0,0.002620358,0.000219902,0,0.000376775,0,0,0,0,0,0,0,0.000136222,0,0,0,0.000969229,0,0.000214509,0.000531003,0,0.001694822,0,0,0,0.000120514,0,0,0.001210337,0.000479831,5.03E-05,0.000100594,0,2.73E-05,9.69E-05,0.000104213,0,0.000184757,0
Fungi,Ascomycota,Lichinomycetes,0,0,0,0,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,Ascomycota,Lipomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,Ascomycota,Pezizomycetes,0,0,0,4.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001087911,0,0.000300313,0.000378423,5.81E-06,0.000210507,4.40E-05,0,0,0,0,0,0.000162794,0,5.22E-05,7.62E-05,0,0,0.000100376,0.000104565,0,0.000164229,0
Fungi,Basidiomycota,Agaricomycetes,0.089790387,0.379324748,0.055021368,0.019221055,0.016097281,0.035581568,0.433931251,0.131522439,0.365007727,0.138888091,0.089763643,0.787811401,0.001535767,0.099624719,0.023979635,0.030318463,0.01283022,0.20744604,0.601772824,0.02880593,0.173126615,0.291713336,0.084259787,0.147818439,0.142554058,0.468743132,0.181912888,0.069152477,0.035596225,0.065721167,0.089505581,0.030804982,0.997678144,0.134510168,0.068217306,0.163791195,0.513904714,0.30523094,0.172866556,0.267337526,0.853533526,0.022133527,0.344937449,0.489885032
Fungi,Basidiomycota,Dacrymycetes,0,0,0,0,0,0,0,0.0028344,0,0,0,0.005201099,0,0,0,0,0,0.000391985,0,0,0,0.000106319,0,0,0.000166506,0,9.89E-05,1.33E-05,0,0,0,0,0,0,0,0.000144334,2.59E-05,0,6.27E-05,0,5.56E-05,0,0.001531431,0
Fungi,Basidiomycota,Geminibasidiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116252,0,0.000115534,0,0,0,0,0,0,0,0,0,1.38E-05,0,0,0,0,0,0,0
Plant,Streptophyta,Anthocerotopsida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27E-06,0,0,0,0,0,0,0,0,0,0,2.22E-05,1.06E-05,0,0,0,2.92E-05,0,0,0
Plant,Streptophyta,Bryopsida,0.121439763,0.002456367,0.583653846,0.012655557,0,0,0.014007004,0.003072542,0.002251492,0.001226631,0.007234098,0.002578386,0.054424532,0,0,0.017326471,0,0.008971166,0.168502515,0,0,0.007565924,0.01069491,0,0.029677444,0.045740961,0.088177758,0.031863753,0.002036123,0,0.011633279,0.000389162,0.000925803,0.120863798,0.035605075,0.005150313,0.056039521,0,0.000906956,0.013182403,0.011902465,0,0.002134971,0.000110546
Plant,Streptophyta,Ginkgoopsida,0,0,0,0,0,0,0,0,0,0.000810996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
